reviewer_name,review_date,product_star,reviewer_header_comment,reviewer_detail_comment
Debbie ," December 31, 2023",Rating: 5,,My grandson loves his keyboard
Evan ," October 18, 2023",Rating: 5,,"Great keyboard, sound and build quality, I wish they had a wireless option but it’s not the end of the world. A little expensive but seems worth the price to me."
fabiola ," December 20, 2023",Rating: 5,snowstone keyboard,my boyfriend absolutely loved it as his gift!!
Bernardo ," October 17, 2023",Rating: 5,,"I ended up sticking with the stock switches because they are incredibly smooth. The sound is phenomenal (especially the space bar), and the keycaps feel amazing."
Christopher ," December 21, 2023",Rating: 4,Keyboard,I liked how it sounded and how it felt
Krasen ," October 5, 2023",Rating: 5,Really nice,I waited around a month for it because i live in Europe. It was so worth it. I've had it for a few days and the sound is even better. The keyboard looks nice and has a variable of color patterns in the app. The sound is even better than i thought bro. The case is actually so good. The keycap puller looks good and works perfectly and the switch puller is just normal. The stickers that come with the board are insane. Recommend it a lot 10/10 homies cop it.
carter ," December 24, 2023",Rating: 5,,sounds so nice😍
Poorsha ," December 19, 2023",Rating: 5,,It was really nice
Sarah ," December 2, 2023",Rating: 5,,Came in good condition and delivered early
Matthew ," September 14, 2023",Rating: 5,Amazing Look and Feel,"I have had a Ducky One 2 Mini for the last 4 years, and this blows it out of the water in every way. The sound and feel when typing, the RGB variety and brightness, and the overall aesthetic design make this a perfect keyboard. It is a great size and matches my white PC build. Thanks Higround!"
Rafael ," October 6, 2023",Rating: 5,Better than expected,It’s slightly smaller than I thought but performance wise it is amazing. Really solid keyboard
Michelle ," November 17, 2023",Rating: 4,,Too expensive
Rebekah ," September 18, 2023",Rating: 4,Great,"It’s a great keyboard. I thought it would have the option of wireless, so that’s why it’s not 5 stars. But it’s an amazing keyboard, sounds great and feels great, super reactive like you’d want"
Dominik ," November 20, 2023",Rating: 5,Good Keyboard,:)
Bryten ," September 26, 2023",Rating: 5,,"Sounds beautiful, looks even better, as a first ever keyboard, I am not complaining in the slightest"
James ," August 20, 2023",Rating: 5,Best keyboard yet!,"This is my third keyboard I have owned, and I must say Highground really knows what they are doing! This is by far the BEST keyboard I have had, it’s quiet, looks amazing and feels great when typing or playing fps games. 10/10 would recommend!"
Emely ," August 28, 2023",Rating: 5,2nd keyboard Ive bought on here,I bought this keyboard for my brother since I had gotten the lava rock one. He absolutely loves it and it looks amazing. It also sounds super nice.
Louis ," September 15, 2023",Rating: 5,Great,This keyboard is great it sounds and feels amazing and looks good too and the led’s in the keyboard are great too
Rafael ," September 24, 2023",Rating: 5,,It’s the perfect keyboard awesome looking and the sound is perfection it’s a must have
Rick ," August 12, 2023",Rating: 5,My first 65%,I have always been a full-size keyboard user and wanted to try out a 65. Love the colorway on this one and it feels really nice. Comfortable keycaps and audible but not loud switches that don't require much force. A very pleasant typing experience...now if I could only get used to not having a number pad!
Daniel ," October 12, 2023",Rating: 5,,Satisfying sound with easy-to-read keyboard caps
Nicolas ," September 15, 2023",Rating: 4,,"They keyboard sounds amazing and the discount price was also very nice, the only reason this isn’t a 5 star is because you can’t super glide in apex"
Austin ," August 19, 2023",Rating: 5,,"Best keyboard I've ever had. Sounds good, feels food, very responsive and looks clean! Only keyboard company I'm investing into from now on"
Joe ," August 17, 2023",Rating: 5,Amazing keyboard,"I’ve recently been seeing a lot of videos on this keyboard, so I decided to buy it, and I don’t regret it; it feels amazing and sounds amazing."
ahmed ," August 2, 2023",Rating: 5,best keyboard i have ever touched that is prebuilt,best keyboard prebuilt in my opinion for that price it may be abit pricey but it sounds so good im on vacation when i ordered this so i couldn’t play with it but i just like to keep it close to me just so i could press it that’s how good it sounds.
Nathan ," September 20, 2023",Rating: 5,,Keyboard is high quality and sounds very good. Worth the money.
FosterJ03 ," July 26, 2023",Rating: 5,Fantastic Keyboard,"I've wanted a Keyboard for only a short time but I wish I knew about yours sooner! As I start to build a Desk Setup that I can appreciate, I have to say, the higround keyboards are a wonderful way to make it stand out! The key sounds are amazing and it's very customizable of which I keep changing around everyday! Now I'm just asking myself, which one will I get next!"
Musti ," September 23, 2023",Rating: 1,,I did not get the item delivered
Cruz ," October 9, 2023",Rating: 5,Amazing Keyboard,I recommend
Shane ," September 17, 2023",Rating: 5,Amazing,"Great Customer Service, Great Rgb , Great Sound ,"
Hilel ," September 15, 2023",Rating: 5,Snowstone base 65,it was wonderful and the space bar sounds amazing
Wilson ," September 17, 2023",Rating: 5,Honest thoughts,I think it is the best keyboard I’ve ever had
Jennifer ," July 14, 2023",Rating: 5,Love this!!,The mini keyboard is such a great feel for gaming. The RGB options on the white keyboard are so crisp day and night. It’s such good quality and I’m so glad this brand was recommended to me. So here I am to make sure to pass it forward! You won’t regret your choice in any product from Higround.
Luke ," July 16, 2023",Rating: 4,Keycaps are amazing!,"This will definitely take a little getting used to, as I have never had a 60% keyboard like this one before. My typing accuracy is definitely a little ways to go; that is alright. 

Besides personal experience, it is a great keyboard for gaming aesthetics!"
Pasquale ," September 10, 2023",Rating: 5,Great keyboard,"Couldn’t ask for a better keyboard, great to the touch"
Bryan ," August 28, 2023",Rating: 5,,The keyboard feels so good and its so compact its perfectly what i needed
Antonio ," October 1, 2023",Rating: 5,Good ergonomics and sound,Fast respobse
Broderick ," August 23, 2023",Rating: 5,Best keyboard,It the best sounding and best looking keyboard I have seen. I don’t regret buying it
Juan ," July 8, 2023",Rating: 5,,I barely got a pc and saw this keyboard getting a lot of hype and I will actually recommend it to buy the keyboard feels nice a whole variety of RGB modes and don’t even make me start of the sound. 10 out of 10!!!
Taylor ," September 28, 2023",Rating: 5,,pretty good
Maksymilian ," July 7, 2023",Rating: 5,Absolutely worth it,"Been waiting for the keyboard to arrive for about a month, but to say it was worth the wait is an understatement. The quality is very good, it sounds absolutely amazing and the hot swappable switches and keycaps are certainly a great feature. 100% would recommend."
Simon ," August 22, 2023",Rating: 5,Nice keyboard,Very nice sound and very good fealing very good made and it was worthit to buy
Jason ," September 7, 2023",Rating: 5,,Shipping took forever but it was worth the wait.
Bryan ," September 7, 2023",Rating: 5,Great keyboard,It has an amazing feel and i love the rgb
Kouki ," July 14, 2023",Rating: 5,:D,Great stabilizers and keycaps. I wish the key bind configurator was more optimized and easily accessible in terms of the stability of the app.
Austin ," September 21, 2023",Rating: 5,Keyboard,I like it
Walker ," September 12, 2023",Rating: 5,,Very nice sounds very good
Jacob ," August 23, 2023",Rating: 5,Keyboard,Amazing keyboard looks beautiful and is built skillfully
Daniel ," June 26, 2023",Rating: 5,Love it definitely worth the price,I tried 4 keyboards before and none of them were as good as this. I was cautious of the smaller size initially but you’ve really got all the keys you’ll need. The lights are incredible I love having it on white and as an architecture student it really preform under pressure It’s probably the best looking keyboard around.
Dylan ," September 13, 2023",Rating: 5,Really good,Sound is so good
Landon ," July 28, 2023",Rating: 3,Keyboard,It’s cool love the sound of the keyboard and feels more responsive then my old one but I wish the frame of it was not see through kinda ruins it or else it would be 5 stars but I love everything about it
Joshua ," August 27, 2023",Rating: 5,Amazing feel,This is my favorite keyboard of all time.
Sean ," September 14, 2023",Rating: 5,Review,Love it
Anthony ," August 20, 2023",Rating: 5,Great,Very clean nice looking board. Sounds fantastic !
Franco ," August 30, 2023",Rating: 5,,Great product!
Steve ," June 8, 2023",Rating: 5,Keyboard Thoughts,"Honestly, it’s my first time buying a mechanical keyboard that was this expensive. My most expensive one I’ve ever bought was off Amazon for like $25… 

This keyboard was worth every PENNY, absolutely love it. Especially the different light patterns and how nice the feel is when you click each key. I got the red metallic esc key cap and it adds a nice contrast. This keyboard looks so sleek and nice. I’ve never had a 65% keyboard so it’s taken some getting used to but i have zero regrets. Will definitely order more from them in the future.

I think i might have found a new hobby in keyboards!"
Julia ," June 5, 2023",Rating: 5,sounds like a dream and is so clean,it sounds exactly how i expected it would and it feels so nice to type on. for the price it was 100% worth it and i will be using this keyboard for a very long time. 10/10 it goes perfect with my setup and looks so clean.
Renee ," August 19, 2023",Rating: 4,,My son loves his keyboard.
Maria ," July 26, 2023",Rating: 5,,Good quality key board and it’s not loud by pushing buttons
Alex ," August 22, 2023",Rating: 5,Beautiful,Love it
Aldo ," May 29, 2023",Rating: 5,Snow stone keyboard is amazing,"It’s gotta be the best keyboard I’ve ever gotten, the switches sound amazing I’ve never been so satisfied on keyboards and don’t get me started on the design it’s so authentic. I ordered the XL mouse pad to match soon🙏"
caleb ," June 17, 2023",Rating: 5,A GREAT KEYBOARD,"I previously had a razer huntsman tournament addition and I have to say this keyboard is way better in looks, sound, and feel."
Benedikt ," August 3, 2023",Rating: 5,It’s good,It’s the best keyboard I ever have
Leegen ," August 11, 2023",Rating: 5,Keyboard,It’s amazing
Jonathan ," August 11, 2023",Rating: 5,,It’s amazing
Fernando ," June 1, 2023",Rating: 5,Snowstone personal review,"In my personal opinion I can see the price worth in the quality, I used to have other cheap keyboards but now I can clearly see the difference"
Juandaniel ," June 6, 2023",Rating: 5,THE BEST,"You guys did an awesome job, I love the keyboard and it sounds amazing. You guys are awesome, definitely buying another one soon"
Javi ," June 22, 2023",Rating: 5,Rating the keyboard I got,I think that the keyboard is awesome I love how it sound and how it performs on gaming it’s amazing
Ethan ," June 9, 2023",Rating: 5,Love it!,Never had a high quality keyboard or anything other than blue switches before. Feels and looks amazing I recommend buying.
August ," June 26, 2023",Rating: 5,It is exactly as advertised,When i got they keyboard i did not know about the software and i can customize any thing
Eric ," August 9, 2023",Rating: 5,,Nothing
Anand ," June 13, 2023",Rating: 5,Perfect,it is an amazing keyboard with an amazing sound profile. The stablizers also sound great. Worth the 135 bucks!
Eric ," June 13, 2023",Rating: 5,Snowstone,Great keyboard. Sounds great but shipping took a little longer than I expected. Nonetheless great purchase.
Calvin ," June 13, 2023",Rating: 3,Stabilizers,"When I opened the keyboard for the first time and put everything back in, the stabilizers got messed up even though i didn't even touch them at all and they sound worse now, but it's still a good keyboard overall"
Carter ," July 14, 2023",Rating: 5,Keyboard,"I loved it, it was a big upgrade from my other one"
Jax ," June 4, 2023",Rating: 5,A sexy masterpiece.,This keyboard sounds and looks amazing. Also got delivered to me within a week. Awesome job over at Higround. Thanks guys!
Zohair ," May 12, 2023",Rating: 5,Higround forever 😍,"Building my first ever dream gaming setup and wanted a nice looking keyboard that’s where the Higround had caught my attention with their beautiful keyboards, Snowstone is hands down one of the most beautiful looking and the most Tockiest keyboards i’ve ever used, Not only because of it’s visually stunning looks but also because of it’s premium quality. I live in Sweden so it cost me around $180 but it worth every single penny. The service was great too as they promised, I ordered it on 13th of April and received it on 3rd May. Definitely gonna order more in the future. 🤝 
I definitely recommend it 10/10 ♥️"
jorge ," June 6, 2023",Rating: 5,Love it!,I love the keyboard! It sounds so good and it fits my setup so well. Definitely plan on buying more in the future.
Francisco ," July 18, 2023",Rating: 5,,It sound very good and satisfying
Austin ," May 24, 2023",Rating: 5,More please,This thing is sick looking and sounds so good I can't get enough of it. I showed my friends the keyboard and now they all want one too
Colton ," June 27, 2023",Rating: 5,Great Keyboard,Amazing keyboard. Way better than my old one. RGB and sound is amazing.
Jeremy ," June 25, 2023",Rating: 5,Awsome.,I got this for my son. He loves it. He also likes the keyboard sound.
Chris ," May 5, 2023",Rating: 5,Everything I wanted and expected and more.,"It's quick, responsive, quiet, cool looking. I really enjoy it. The company was great to work with, they gave me information every step of the way so that I knew when it shipped, and when it was delivered. Everything was top notch as it should be with all companies and online purchases."
Emitt ," July 26, 2023",Rating: 5,,It’s great
Ryland ," July 14, 2023",Rating: 5,Keyboard,Very smooth and nice to click
Samuel ," June 8, 2023",Rating: 5,,"Loved the look, and the sound of the pre-lubed switches, easily my favorite keyboard to date."
Fernando ," June 9, 2023",Rating: 5,,"Bro this keyboard looks so good in my set up,really good quality and I love the sound 10/10"
Sean ," July 16, 2023",Rating: 5,,Best keyboard ever
Jonah ," June 29, 2023",Rating: 5,LOVE IT,"Smooth keys, good feel, and great rgb settings!"
Noah ," May 22, 2023",Rating: 5,fantastic keyboard,it's an absolutely fantastic keyboard and they look great. It works as it should and is a highly recommended product
Nicholas ," June 15, 2023",Rating: 3,,"had to mod it cuz it sounds really bad stock 

i really recommend changing the switches bc it’s like the same sound as razer keeb"
David ," June 4, 2023",Rating: 5,,The sound is beautiful and feels very responsive when gaming. An absolutely amazing buy
Austin ," May 17, 2023",Rating: 5,100 percent recommend,super quiet and clean looking. has a ton of different colors and modes you can choose from. very happy with my purchase
Austin ," May 22, 2023",Rating: 5,,"sounds great, looks great, only my third keyboard i’ve bought but i have no complaints with this company."
Andreia ," June 16, 2023",Rating: 5,Best keyboard EVER,"I love this keyboard, it looks so nice and it feels so nice."
Jackson ," May 13, 2023",Rating: 5,,best prebuilt keyboard. deep and thocky. recommended for gamers with no big budget that don’t wanna build a keyboard.
William ," April 16, 2023",Rating: 5,Easily the best keyboard I've ever owned.,"This is the 3rd keyboard I've bought and it is easily the best one yet. I've heard people say this keyboard is a glorified GK64. My first keyboard was a GK64 and that could not be further from the truth. The quality really does speak for itself once you have the board in hand, and typing on it feels incredible. You can tell effort was put into properly lubing the switches and the stabilizers are perfect. No rattle, and you really do get a nice THOCKY sound. If you're looking for a compact keyboard for gaming and typing, I would definitely recommend this if you aren't trying to build your own custom setup. This is about as good as it gets when it comes the prebuilts!"
Markos ," May 11, 2023",Rating: 5,,"Very awesome keyb, sounds and feels great and also looks amazing due to the vinyl keycaps. W company W keyboard ong"
James ," June 2, 2023",Rating: 5,Snowstone base 65 keyboard,The snowstone keyboard was very creamy and smooth and sounded very good
Vincent ," May 19, 2023",Rating: 5,Incredible keyboard,I don’t even have any issues with it at all. It’s truly an amazing keyboard. Only good things
Destiny ," April 10, 2023",Rating: 5,Perfect ❤️,"This keyboard is absolutely gorgeous and sounds amazing, the mods it already came with suited what I wanted and the packaging and care put into this keyboard was amazing! I definitely recommend super amazing sound and feel! 10/10 all around!"
Dermot ," April 10, 2023",Rating: 4,Even better than expected,This was a huge hit for my son for his birthday! Quicker shipping than expected and came in time for his birthday! Very quiet keyboard- my other two boys are envious of the new keyboard and think its super cool- would definitely buy again- the only slight negative is how expensive it is...very pricey for a keyboard and the shipping cost was expensive as well....
Dominic ," June 24, 2023",Rating: 5,Amazing,Beautiful white keyboard
Jace ," June 15, 2023",Rating: 5,,Feels very nice and is good sounding
jacob ," May 8, 2023",Rating: 5,,"it’s a great product, very happy with the keyboard. beautiful sound, great colors, and even better feel"
Jackson ," April 10, 2023",Rating: 5,Amazing,It is an amazing keyboard for its price it has no stabilizer rattling and it’s very thocky I definitely recommend it if you want a good all around keyboard.
Jessica ," June 23, 2023",Rating: 5,good,very good
Ella ," March 29, 2023",Rating: 5,,"Love the keyboard and the switches. Lots of rgb modes and just overall well designed. Only problem is the left shift can stick sometimes, but it’s not very frequent."
Eman ," March 28, 2023",Rating: 5,Europe Users Review,"I am just getting into the costume keyboard game and didn't want to assemble one myself due to time constraint but still wanted something that could match it stock and I hit the jackpot. The Snowstone not only looks but feels like a premium keyboard, even though it has a US layout which means its missing a couple of keys/reorganized. Although it can be annoying at times, you quickly get used to it. I use the keyboard for mainly gaming and school work. How I worked around the US layout is that I just set the windows keyboard settings to (in my case Sweden) layout and it works just like intended. 

My friends come over to just feel in in person. Its just an awesome experience."
Leonardo ," March 27, 2023",Rating: 5,AMAZING KEYBOARD!,"This keyboard works great! I’ve used a fair share of keyboards throughout my life and not a single one has felt as great as the Snowstone! The compact size really helped de-clutter my desk and the clicky keys sound so satisfying. Whether you’re in the market for a gaming keyboard to play games like Valorant and Apex or you’re just looking for an appealing, compact keyboard for your workspace, I highly recommend the Snowstone or any other HIGROUND product. Amazing quality!"
johnathon ," June 12, 2023",Rating: 4,Great keyboard,The keyboard is great 👍👍.
Kyle ," March 27, 2023",Rating: 5,HIGH Praise for HIGROUND,The best key board I’ve ever used. It’s compact and sleek. The design is better than I expected. Some of the coolest packaging I’ve ever seen as well. Well done overall. Highly recommend.
Caleb ," April 26, 2023",Rating: 5,Great Product!,"Very good product, I am super pleased with the build quality and the overall performance of this keyboard!"
Jacqueline ," April 26, 2023",Rating: 5,"Happy Grandson, Happy Gramma!!",My grandson Justin loves it. Unfortunately he’s on it a little tooo much but that’s another story. LOL
Jonah ," June 11, 2023",Rating: 5,,keycaps so meaty😩
Moby ," March 30, 2023",Rating: 5,Keyboard,"Although it got delayed because of shipping issues, I still cannot get enough of the quality and the sound of the keyboard. Keep up the work HIGROUND💯"
Chase ," March 21, 2023",Rating: 5,,"Great keyboard, especially for the price, very stable. I have used it for a couple MWII nights so far and it’s been amazing, no wobbling or rattling, very nice THOCK sound, would highly recommend"
Pyai ," June 11, 2023",Rating: 5,,Great product
Margaret ," June 12, 2023",Rating: 5,"I was pleased arrived sooner than expected and my Grandson is very pleased with his SNOWSTONE Base 65. He said, it is Perfect .",PERFECT.
Nicolas ," June 12, 2023",Rating: 5,,Love it
Aaron ," June 7, 2023",Rating: 5,Great,Amazing keyboard
Rasmus ," March 16, 2023",Rating: 5,Overthrilled :),"Have a kid who is more than extatic about me retrieving the keyboard for him, he now wishes for the mouse pad with same illustration, only positive feedback from us also quality wise. Only issue is that we live in DK and has to pay extra for import."
Jonathan ," June 5, 2023",Rating: 5,amazing,feels great
Mailow ," May 16, 2023",Rating: 5,L,Best Keyboard i had But the Shiping is Not cheap
Asim ," April 11, 2023",Rating: 5,,I really enjoy the 65 keyboard layout. The switches have a unique feel to them and the design looks sleek.
Joshua ," March 8, 2023",Rating: 5,,Was skeptical because of the high praise Nadeshot was giving since he is partnered with them. This is a custom keyboard for lazy people who don’t want to build and do research themselves. 5/5 and I’ll definitely be buying more from them in the future.
Coby ," March 7, 2023",Rating: 5,Best stock keyboard I’ve bought,This keyboard seriously sounds just like the demonstration video on its webpage. The switches are very smooth and the print and design are all very clean and the acrylic bottom shows off the rgbs well. You can also still use your f row keys and other multimedia function keys with the fn key
Steven ," March 6, 2023",Rating: 5,Amazing!,"Going from a razer huntsman to this is a game changer! I had no idea what I missing out on. Perfect sounding, down to the feel and response of each key. I am working on posting a tik tok review after my first 2 weeks with this keyboard. Stay tuned on TT: its5T3V3N"
Nathan ," March 24, 2023",Rating: 5,Incredible!!,This keyboard is super good! Best sounding keyboard i have purchased. If you are looking for a new keyboard dont sleep on this one.
khalid ," May 22, 2023",Rating: 5,SNOWSTONE IS GOODDD,BEST KEYBOARD ONGGG
Damien ," March 4, 2023",Rating: 5,WHAT ARE YOU WAITING FOR,This will hands down be the best keyboard you will ever purchase in your entire life. I now can type 420 words per minute and not miss spell a thing. thank you higround for providing the best service i have ever gotten.
Michaela ," April 4, 2023",Rating: 5,Happy customer,"Absolutely great, functional and looks amazing. 
Thank yoj. Delivery was fast considering the distance."
Chevy ," May 7, 2023",Rating: 5,Clean,I love the look and feel of the keyboard
Tim ," March 31, 2023",Rating: 5,Snowstone 65% Keyboard,"My first mechanical keyboard and I'm super happy with it, built quality is amazing and the sound is a 10/10."
Joseph ," April 27, 2023",Rating: 4,Keyboard rating,It is a very good and solid leyboard especially if you are going to be using it daily
Matt ," April 24, 2023",Rating: 5,You can feel the quality when you first lift it out of the box,"Great quality, customization is unique, overall solid keyboard."
Erena ," April 13, 2023",Rating: 5,Super,Highly recommend to all. Great service and product. Thank you from New Zealand 🇳🇿
Skylar ," May 23, 2023",Rating: 5,Keyboard,Awesome
John ," May 18, 2023",Rating: 5,"It’s really nice switches for the price you pay, you’ll love it",it’s really nice
Nate ," May 10, 2023",Rating: 5,I love,It sounds and feels so nice
Brady ," April 7, 2023",Rating: 5,Great quality for the price,"The keyboard is very smooth and feels nice to the touch, the switches sound amazing too!"
Nicole ," February 25, 2023",Rating: 5,Finally found THE ONE,"I don't know how many keyboards I have had to purchase for my son. They never feel right, click right or sound right. He absolutely LOVES the snowstone. We will definitely buy from you in the future"
Kenneth ," March 8, 2023",Rating: 5,Love it,Definitely one of the best premium keyboards on the market and the sound is exactly what I was looking for definitely will be getting more
Luis ," February 22, 2023",Rating: 4,Something Idk,"The keyboard is not bad. The only disappointment I have with it is the sound of the spacebar. I had hoped it was just as quiet as the keys, but it has a “thunk” type of sound. It’s still overall better than my last keyboard, except it’s lacking it’s own F keys and number pad."
Justin ," March 10, 2023",Rating: 3,There are brown marks on the outer shell of the keyboard,"I don’t know if these marks are a part of a manufacturing error but I cant seem to get it off, even with isopropyl alcohol, and it’s really bothering especially because of how visible it is on the clear white casing. Is there anyway I can get rid of these or get a new casing??"
Nico ," May 3, 2023",Rating: 5,Very Nice,Sounds good with no problems
Tanya ," May 14, 2023",Rating: 5,,Perfect
Keniel ," April 19, 2023",Rating: 5,Best keyboard best switches good cuality,Best keyboard ever great keyboard for its prize
liam ," April 27, 2023",Rating: 5,great,its a great keyboard keep it up
Antonio ," May 8, 2023",Rating: 5,,ye
Jose ," April 17, 2023",Rating: 1,,Never received it
Jeffery ," April 3, 2023",Rating: 5,Best keyboard yet,"Great keyboard, sounds the best and I just love typing on it ."
