reviewer_name,reviewer_header_comment,reviewer_detail_comment,review_date,product_star
by ABRAHAM,Awesome,It looks so good!,05-12-2024,4 out of 5
by Ifeanyi,Fair,Not durable at all.,05-12-2024,3 out of 5
by Alozie,very good item ,This is what we call a high speed gadget and the battery is very very good ,05-12-2024,5 out of 5
by Ajewole,I like it,Durable,04-12-2024,5 out of 5
by Chris,its not nice,"I love it, perfect as expected ",03-12-2024,5 out of 5
by Dominic,I like it,It's working perfectly for me!,03-12-2024,5 out of 5
by Sherina,I like it,Efficient and sleek. A good buy,02-12-2024,4 out of 5
by Tunmise,Really Good,Recommend,02-12-2024,5 out of 5
by Sarah,Wireless mouse,I love it,02-12-2024,5 out of 5
by Ajiri,I like it,What I ordered is exactly what I got,02-12-2024,5 out of 5
by Femy,Good Product,It's been working for me so far..,02-12-2024,5 out of 5
by Frankie Christopher,Good,Was ok,29-11-2024,4 out of 5
by Eberechi,great,As seen.,29-11-2024,5 out of 5
by Samuel,not good enough,Didn't last up to month ,29-11-2024,1 out of 5
by Kennedy,I like it,Amazing product,29-11-2024,5 out of 5
by Joyce,not bad,its pretty much okay,29-11-2024,4 out of 5
by Amuche,I like it,Excellent,29-11-2024,2 out of 5
by Tapha,Amazing,Deserves the 5 ???? ,27-11-2024,5 out of 5
by Ekemini Essien,Amazing product as seen,It’s doesn’t make any sound when clicking it and it’s hasn’t gone off since I started using it even without charging it ,27-11-2024,5 out of 5
by Eecy Integrated,Great,This is a good product and very sleek,27-11-2024,4 out of 5
by olom,i like it,its ok.,27-11-2024,5 out of 5
by Stephen,Beyond my expectation,"This is a very good product for the price. It is silent, smart and fast",26-11-2024,5 out of 5
by Opeyemi,Nice,It's nice,25-11-2024,4 out of 5
by Ojonugwa,Good,Durable and for window 11,25-11-2024,5 out of 5
by Emmanuel,Sharp mouse,It makes sense and glow at night,25-11-2024,4 out of 5
by Big Perfect,Very nice and long lasting ,It’s worth it,25-11-2024,5 out of 5
by Alo,Best Mouse,"This is the first mouse that I will buy that makes sense to me. 
",25-11-2024,5 out of 5
by YUSUF YUSUF,Very nice,"Its a nice product. And strong too
I enjoy it",25-11-2024,5 out of 5
by Yomabasi Fortune Bassey,Loved it!,It is very sleek and easy to use.,25-11-2024,5 out of 5
by Theresa,Good,Easy to use,25-11-2024,4 out of 5
by Yele James,Love it ,Works way better than I expected.The battery life is good! ,25-11-2024,5 out of 5
by Tobby,So cool.,"Battery life solid.
Navigation smooth. 
Handling cool. 
Led lighting so cool. 
",25-11-2024,5 out of 5
by Akinniyi,Smart Mouse,This mouse is smart and cool ,22-11-2024,5 out of 5
by Adeyemi,I like it,Portable and durable,22-11-2024,4 out of 5
by Bolaji,I love it,It just as I have expected.,22-11-2024,4 out of 5
by Joseph Jografix,Nice,Very ok,21-11-2024,5 out of 5
by Tope,Good.product,"The wireless mouse displays the changing side colours, which can also be switched off. Can be charged with the short USB type C cable that came with it. Only used briefly so far, but no problems observed.",21-11-2024,4 out of 5
by Samuel,i love it,The product is awesome,21-11-2024,5 out of 5
by Samuel,i love it,The product is awesome,21-11-2024,5 out of 5
by Chidozie,Good,"I just got it, really subjected it to heavy use... but so far it's good",20-11-2024,4 out of 5
by Korey Akorede,Good battery,Battery lasts more than 4 days,20-11-2024,5 out of 5
by Oluwabukola Adesina,Great product ,Works perfectly ,19-11-2024,5 out of 5
by Bartholomew,Awesome ,"It is Durable, noiseless clicking, portable, lifelong battery ",18-11-2024,5 out of 5
by Fatai,its good for the price,I got what I ordered for. ,18-11-2024,5 out of 5
by sunday,Duration is okay,It make sense and the duration is perfect,18-11-2024,5 out of 5
by Deborah,Great,Exactly as described ,15-11-2024,5 out of 5
by Chinonso,????????,"It's super nice, light weight, easy to use, the clicks aren't noisy. very responsive.",15-11-2024,5 out of 5
by Michael Iheremelam,Sleek,"So nice, good battery, so slim",15-11-2024,5 out of 5
by Stephen Amenkhienan,Nice,"Very okay
I got exactly what I ordered ",14-11-2024,5 out of 5
by Abayomi Kareem,Fair. ,The design wasn’t really thought out for people with big hands like myself. ,14-11-2024,2 out of 5
by D_good_guy,I like it,This product beats my expectation the silent click is amazing and the led light just makes it stunning,13-11-2024,5 out of 5
by Nonso,Nice,Looks good ,13-11-2024,5 out of 5
by ochinjo,swift ,"Flexibility
",12-11-2024,5 out of 5
by Agidi,Slick,It's very nice ,12-11-2024,4 out of 5
by Kingsley,cool,Worth the price ,11-11-2024,4 out of 5
by Kingsley,cool,Worth the price ,11-11-2024,4 out of 5
by Clement,Smooth and sleek,I got mine last week and it's been fantastic. The battery life is cool. ,11-11-2024,4 out of 5
by Rasheed,Battery Top notch ,The battery life is superb and it is very silk I love it ,11-11-2024,5 out of 5
by Iyanuoluwa Shindara,Wireless Rechargeable Mouse,I love the mouse especially the color ,11-11-2024,4 out of 5
by Esther,I like it,Has been serving me well for 2 years now.,11-11-2024,5 out of 5
by Akeukereke,wonderful Device,Wonderful gadgets easy to use,11-11-2024,5 out of 5
by Mercy,Very Durable and easy to use,I'd give more if we have more than 5 ????.,11-11-2024,5 out of 5
by Chukwudi,its good,It's okay the way it is,08-11-2024,4 out of 5
by Paul,OK,THE ITEM IS OK,08-11-2024,4 out of 5
by Oluwafemi,higly recommended,Just perfect,07-11-2024,5 out of 5
by Omoaregba Benjamin,Review ,Exactly what i wanted,07-11-2024,5 out of 5
by O'shola,Silk and classy...Noiseless!,"Works well as expected, good for its price and so noiseless with long lasting battery",06-11-2024,5 out of 5
by Joseph,Absolutely worth it,"I charged this mouse on Monday morning and it lasted till Sunday,I use It daily and most times forget to turn it off bcos the mouse automatically goes off if not in use for 10mins ,if you have money buy it asap it absolutely worth more than the price ... Beautiful light than changes colours ,lasting ba3,",05-11-2024,5 out of 5
by Elvis,Gm ,It's smooth and light. People were wishing they had mine. ,04-11-2024,5 out of 5
by Mike Philip,Excellent ,Very good and last long for a week,01-11-2024,5 out of 5
by Gloria Yusuff,Battery,Battery life is perfect,01-11-2024,5 out of 5
by Ekperebuike,Very good,Very good fast and reliable. Exactly what I wanted,31-10-2024,5 out of 5
by Moses,Long lasting  and durable,Long lasting and durable. Nice product,30-10-2024,5 out of 5
by Ruth,wow...it so cool,It is classy and cool,28-10-2024,5 out of 5
by Abba,AMAZING ,"This item is recommendable.
The battery ????, the shape and how its works are amazing ????????????  ",28-10-2024,5 out of 5
by Prince,I just love it,"It's superb
No reason am
Go ahead and place your purchase",28-10-2024,5 out of 5
by AMARACHI,Works great!,Smooth and easy to use,28-10-2024,5 out of 5
by OLATUNJI,Great,"Good product 
Bought it twice now",27-10-2024,5 out of 5
by Opeyemi Jaiyeola,Love it,"Sweet to use
",25-10-2024,4 out of 5
by BRIGHT,Good product,Working perfectly well,24-10-2024,5 out of 5
by Adeboye,Silky,Great product,23-10-2024,5 out of 5
by Ayokanmi,I like it,Good product for the amount.,23-10-2024,4 out of 5
by Chizitere,Good one,Works really well and lasts long.,23-10-2024,5 out of 5
by Abiodun,I like it.,"Long lasting battery. Durable and precise. I like it, I can't go back to using touchpad since I've got. So convenient to use.",22-10-2024,4 out of 5
by Ojedapo segun,The mouse is working well,Durable and portable. ,18-10-2024,5 out of 5
by Gbenga,LOVELY PRODUCT,Noiseless and works well... No issues,15-10-2024,5 out of 5
by Angel,perfect product ,"I love it 
",14-10-2024,4 out of 5
by damian-mary,flexy,"This product is just to interesting to use, the lights changes and makes the hand beautiful. Battery last as links as 3 to 4 days constant usage ",14-10-2024,5 out of 5
by Mayowa,Sharp Mouse,Fast and smooth,07-10-2024,5 out of 5
by IYILADE,I love it,I looks exactly the same and last longer,07-10-2024,5 out of 5
by Richard,cool stuff,Last longer ,07-10-2024,5 out of 5
by Fabunmi,Good product,The mouse is good and easy to use but the charging port has issues after few months. Hard to charge it now,07-10-2024,4 out of 5
by Wahab,wirelessmouse,Love this and it worked perfectly for me,07-10-2024,5 out of 5
by lovinna alasa,Mouse,Great value for my money ,07-10-2024,5 out of 5
by Precious,I like it,It's working perfectly ,02-10-2024,5 out of 5
by Queen,Rechargeable mouse,"Perfect 100% Durable, noiseless click, Beautiful color display",02-10-2024,5 out of 5
by Salihu,I love it,It's cheap and it has a long lasting battery life,30-09-2024,5 out of 5
by Azeez,I like it,This product is durable and have a long life span,26-09-2024,4 out of 5
by Moses Jonathan Jonathan,Best accessories ,This is the best mouse I ever seen ,24-09-2024,5 out of 5
by OLUWATOBILOBA,I love it,"The mouse is okay, and fast. The battery",23-09-2024,3 out of 5
by Idara-Cecilia Umana,Definitely get this,Honestly beat my expectations especially at that price. Very sleek with noiseless clicks. I highly recommend ,22-09-2024,5 out of 5
by Mashary,Ho,Sleekly with long lasting ba3 level????,20-09-2024,4 out of 5
by Gideon,Quality and Durable Mouse,The Wireless mouse is very durable and qualitative. It is worth the purchase.,19-09-2024,4 out of 5
by Walter Tronics,Sleek and awesome,"The mouse has a sleek and slim design, with added silver color making it a gorgeous device. It works fine, but sometimes doesn't respond to scrolling with the wheel. The lighting is not as advertised on the product page. It's just solid colors and not rgb, but it still lights. It's good for the price ????????",19-09-2024,4 out of 5
by Ebruphihor,Cool product,"Smooth, no sound clicking, colorful lights",18-09-2024,5 out of 5
by Blessing,very good,Reliable ,17-09-2024,5 out of 5
by Oluwaseun,impressive ,Very potable and good to use ,17-09-2024,5 out of 5
by Kehinde,Good Product,I love it,13-09-2024,5 out of 5
by Christopher,I like it,nice and smooth.,09-09-2024,5 out of 5
by Doherty,as real as discribed,The battery is so strong. And it last longer with it's silent click.,09-09-2024,5 out of 5
by Adeolu Oyekanmi,Good ,Beautiful and elegant ,09-09-2024,5 out of 5
by Kelechi,The perfomance,"Very nice tho , smooth performance.... definitely recommend it for day to day tasks ",05-09-2024,5 out of 5
by Stella,I love it,exactly what was advertised.  I am really enjoying it. so sleek,05-09-2024,5 out of 5
by KINGSLEY,I like it,Easy to use,04-09-2024,4 out of 5
by Adeyemi,I love it,It's a joystick,02-09-2024,5 out of 5
by Ovuoderoye,Good.,Nice product. I love it.,02-09-2024,5 out of 5
by Osadebamwen,I love it????????,Easy to operate and use.,02-09-2024,5 out of 5
by Mr P Omoregie,Nice ,Good ,28-08-2024,5 out of 5
by Oluwasemilewa,Generic Wireless Rechargeable Mouse,It works well...,26-08-2024,5 out of 5
by Esther,very good,"Very smooth and easy to use, exactly as seen .. lights and all",26-08-2024,5 out of 5
by Timily,lovely ,"Long lasting battery, and very sharp to you ",23-08-2024,5 out of 5
by Dr B,Great,Smooth to use,22-08-2024,5 out of 5
by Lex,Superb,"It's smooth, soundless and works perfectly ",22-08-2024,5 out of 5
by Dolabomi,Nice and Portable mouse,Very long lasting battery ,21-08-2024,3 out of 5
by Paul,very sleek,Love it,19-08-2024,5 out of 5
by Pintos,Love it,Looks exactly like the picture. Does everything it is supposed to do. Beautiful design and lady longing,19-08-2024,5 out of 5
by sunday,lovely product,Great product ,19-08-2024,4 out of 5
by Ajayi,I like it,It was a very nice product,16-08-2024,5 out of 5
by Adegbite Mayowa,Mouse ,Was worth buying amazing project ,13-08-2024,5 out of 5
by Temiloluwa,Awesome,"I love it it worth it a 100%
I also love the lightening feature it's cool in the dark
",12-08-2024,5 out of 5
by Ayoola Akere,Sleek and light,Seems very promising.,12-08-2024,5 out of 5
by user,it doesn't last,It lasted for only a month...i have ordered another just to confirm or deny my bias,05-08-2024,2 out of 5
by Akinola,wow perfect???? best so far,"The mouse did more than I expected. It portable low sounds, is beautiful to use, and is easy to connect i will recommend this to anyone looking for better wireless mouse ????????",02-08-2024,5 out of 5
by Johnson,cheap and good,Very smooth to use and the product is exactly same as shown.,01-08-2024,5 out of 5
by Dw,good quality,"Slick and perfect , last long on a single charge ",31-07-2024,4 out of 5
by Oluwabsayomi,The functionality,"The functionality, very durable I have been using for more than 2 weeks and have charged it once.
",31-07-2024,5 out of 5
by Taiye Abdulazeez,I like it,I like it,31-07-2024,4 out of 5
by christian adewara,Sleek ,Good product ,31-07-2024,5 out of 5
by Blessing,I love it,"This is really a good buy, battery last like 2weeks plus, when charging it just use the cord and use it with your laptop. Noiseless and perfect for me ????????????????",30-07-2024,5 out of 5
by AUGUSTINE,mouse,Been using it since November 2023 it's a good one,30-07-2024,3 out of 5
by Julian ,Lovely ,"It’s a very good product, so sleek, no noise and 
Battery last okay 
I recommend ",29-07-2024,5 out of 5
by Okechukwu,Mr,"I love it. It works seamlessly and is smart looking. Will come back with an update after using for a few months
",26-07-2024,5 out of 5
by Sadiq Tijani,Nice,It’s nice,26-07-2024,5 out of 5
by Lucky,Wireless mouse,Good product,25-07-2024,5 out of 5
by Harlock,awesome,Super cool ???? ,23-07-2024,5 out of 5
by Seunfunmi,Perfect,Used it for over 1 year until my cat spoilt it. Will definitely buy again! ,23-07-2024,5 out of 5
by Ezechi,Good product,This is working fine so far since I started using it.,22-07-2024,5 out of 5
by Ezechi,Good product,This is working fine so far since I started using it.,22-07-2024,5 out of 5
by Tenifayo,Good,Great buy ,22-07-2024,5 out of 5
by CHRISTIAN,Top notch,Quality ,22-07-2024,5 out of 5
by Vicfavour,nice product,"The scroll button isn't working so well. Scrolls so far down or up
",19-07-2024,5 out of 5
by TEMPLE,????????,Very good mouse but it should come with a Bluetooth feature as well. ,19-07-2024,4 out of 5
by Toby,Elite mouse,"You don't need to make it perfect, it is already perfect.",18-07-2024,4 out of 5
by Yem Yem,I like it `,Smooth and colorful and it works good.,17-07-2024,5 out of 5
by sunday,Good prodict,It's working very well,16-07-2024,5 out of 5
by Sandra Uche Udeachu,Mouse review,"The product is nice and strong, I really like the colours on the side and how sleek it is",15-07-2024,5 out of 5
by miracle,i like it,battery is good,15-07-2024,4 out of 5
by Ojomaje Besiru,Good,Excellent,15-07-2024,5 out of 5
by Ayomide,Lovely,I love it,12-07-2024,5 out of 5
by Joshua Lucky,????????,"Best of all Best.smooth work and fast
  I literally love it",11-07-2024,5 out of 5
by Kelechi,I like it,Nice product ????????,11-07-2024,5 out of 5
by Samuel,I Love It,I like the mouse and enjoy using it.,08-07-2024,5 out of 5
by Osahon,I like it,It is sleek and has a minimalist design. I've used it for about a week and so far it's working pretty well. It can be used with or without the blinking lights. The lights add beauty and they're not as distracting as I feared they would be.,08-07-2024,5 out of 5
by Afeez,I like it,It works perfectly,08-07-2024,4 out of 5
by Olawumi,Excellent,Multi function ,04-07-2024,5 out of 5
by Ray Ashia,Awesome ,I have been using it for about 2years now,04-07-2024,5 out of 5
by Harlock,awesome,Beautiful ???? ,02-07-2024,5 out of 5
by Felix,I love it,The product serves the purpose for which I purchase it.,27-06-2024,5 out of 5
by Emmanuel,Smooth and soft,"Device works well, i recommend",24-06-2024,4 out of 5
by Joseph,Fancy ,Small sleek rechargeable mouse. Not what I expected. ,24-06-2024,3 out of 5
by CHUKWUEMEKA,WONDERFUL MOUSE,"The mouse ???? is sleek, noiseless and durable. I'll recommend. ",19-06-2024,5 out of 5
by Enoch,I like it,"It is just as advertised. Its comfortable to use and does the job well, good product",13-06-2024,4 out of 5
by Joshua Providence,Lovely ,It works very well and it’s unique ????,13-06-2024,5 out of 5
by Love Bassey,The body,It lasts really long and I like the fact that you can connect with your laptop through Bluetooth even without the input connector,10-06-2024,5 out of 5
by Lerry,Nice,Really cool. Works fine.,10-06-2024,4 out of 5
by Humphrey,A Great Mouse,"Since I bought this item, I've no regrets spending my money. It's one of the best, actually the very best mouse I've used. I have had many cordless mouse but this is both convenient to use highly functional. A great product from its manufacturers ",10-06-2024,5 out of 5
by Awoyemi Kamorudeen,Good ,Very rugged and long lasting battery I love this product ,07-06-2024,5 out of 5
by Mahmud,superb,The battery capacity should be upgraded,07-06-2024,4 out of 5
by Mayowa,Best mouse have ever seen,It's durable sleek and very comfortable to use the clicks doesn't Make noise at all I will highly recommend it,07-06-2024,5 out of 5
by Mfonobong Umoh,Mouse ,Nice product ,05-06-2024,5 out of 5
by Kenechukwu,Nice,"Not heavy, battery last long & the changing light gives it glamor.. ",04-06-2024,5 out of 5
by KAMALDEEN,cool,"Though not long I got it, its something I like easily",04-06-2024,4 out of 5
by David Kalu,very good ,very good ,04-06-2024,4 out of 5
by Fowowe,how portable it is ,"I love how portable and light it it 

",04-06-2024,5 out of 5
by Azeez,good ,I love it,04-06-2024,5 out of 5
by Penuel,Excellently good,"Yeah, I give it up to you guys, works just as described. I recommend it",04-06-2024,5 out of 5
by Obadiah,Coool,it's okay,31-05-2024,5 out of 5
by DR ZI,super,Durable,31-05-2024,5 out of 5
by Patience,Good,Just as seen,30-05-2024,5 out of 5
by Patience,Topnotch,It's ???? nice. I recommend ,30-05-2024,5 out of 5
by SE,Power Issues,Power surge fried all my ports,30-05-2024,1 out of 5
by Wasem,The Best,"Exactly what I expected. Loving it more each time I use it. The design truly is accustomed to easy usage and reduces stress on the hand while using 
",30-05-2024,4 out of 5
by Jaycee,Wireless Rechargeable Mouse,Good buy. I recommend.,30-05-2024,5 out of 5
by BENJAMIN,Its works perfectly,Amazing and worth the price,29-05-2024,5 out of 5
by Dominc,Very Sleek,I must say I love the mouse. It just came in now and I'm putting it into good use,28-05-2024,5 out of 5
by Feyi,Great product,Great and efficient Product,28-05-2024,5 out of 5
by Simide,Like it,Nice one!,28-05-2024,4 out of 5
by OLUWASEUN,Like it,Good and reliable,27-05-2024,5 out of 5
by Timileyin,working,Nice ,27-05-2024,5 out of 5
by Wisdom,I like it,It last very long and very effective,27-05-2024,5 out of 5
by Yusufabdulrasheed,excellent performance,Perfect ,27-05-2024,5 out of 5
by Joyce,It's smooth,It would be good 8f it wasn't so fragile. I have to hold mine down a bit for it to work,27-05-2024,3 out of 5
by Oluwaseyi,Cool,Nice and warm,23-05-2024,4 out of 5
by James Adah,FIVE STAR GENERAL,"Working perfectly and lovely, ???????? ",23-05-2024,4 out of 5
by Oladipupo,i.love it,Best ,23-05-2024,5 out of 5
by Gbenga,It's not what I was expecting.,Not as smooth as the other one I bought.,22-05-2024,2 out of 5
by Emmy,I like it,"Amazing battery life, silent clicks, can even switch between Bluetooth and wireless USB connection",22-05-2024,5 out of 5
by Joseph,Generic wireless rechargeable mouse.for laptop,The mouse is working perfectly. ,20-05-2024,5 out of 5
by Mr.Victor,Love it,The Bluetooth connection is good and works well on my android tablet ????,20-05-2024,4 out of 5
by Elochukwu edeh ,an option is like an underwear here is mine...,"The mouse is cool I just bought it, it's so free and noiseless I am hoping it will last long I love the various options that came with the mouse. You can use the receiver or Bluetooth that's impressive then the lights I just hope the lights doesn't drain the battery. Nice one from the company ???? ",20-05-2024,4 out of 5
by Obinna,I love it,So far so good. I am enjoying it. I hope it last.,17-05-2024,4 out of 5
by Adekunle Adelani,I love it,This piece is very durable and it suit my need,13-05-2024,5 out of 5
by Michael,I love it,I love the feel. Then the fact that it can connect to Android phones as give it 10/10 for me.,13-05-2024,5 out of 5
by Aderonke,Excellentproduct,"Great quality, worth the price.",08-05-2024,5 out of 5
by Peter,I like it,good device,03-05-2024,5 out of 5
by IDRIS,Its an excellent device,Easy to navigate around with a sleek and noiseless sound. Its a good device to be recon with,02-05-2024,5 out of 5
by Gbenga,Awsome,The work is great....good performance ,29-04-2024,5 out of 5
by Micah,Satisfactory,Product is as described with dual mode and lasting battery.,26-04-2024,5 out of 5
by Kazeem,good ,Very fantastic ,26-04-2024,5 out of 5
by Onuora,Works fine,"Working fine. Also looks good and is light enough to work with.
I wish the cord that comes with it could be longer but that's not a necessity since it works in every other way.",25-04-2024,4 out of 5
by Firstson Micheal,It’s very fast and long lasting battery ,Nice item I love it ,24-04-2024,5 out of 5
by Andrew,Good,Working fine till today. No complaints ,22-04-2024,5 out of 5
by Queenet,I like it,"Working perfectly well 
I recommend",22-04-2024,5 out of 5
by Jackson Aduragbemi,A good one ,It’s nice I like it ,22-04-2024,5 out of 5
by Dew,Plastic,"The plastic feels like a toy, but it is practical and gets the job done.",18-04-2024,3 out of 5
by Samuel,I like it,"This is an amazing product.
I love it.",18-04-2024,5 out of 5
by KEHINDE,It is really nice,Keeps my phone safe from cracks,17-04-2024,5 out of 5
by Isaac,The usability,It's useful on both phone and PC ,17-04-2024,5 out of 5
by Oleabhiele,Perfect,Perfect.,16-04-2024,5 out of 5
by Timilehin,very good,The mouse does not make any sound and respond very fast. I also love the aesthetics ,12-04-2024,5 out of 5
by Adaji,THE BEST,"This wireless mouse is the best i have ever seen, i want to say thank you to all the people that left positive reviews that motivated me to buy it. Trust me this wireless mouse is not just beautiful but very efficient it works on all surfaces and with the option of Bluetooth or usb with long lasting rechargeable battery it is definitely the best",08-04-2024,5 out of 5
by Sunmbola,Its cool,make it more ergonomic ,05-04-2024,4 out of 5
by hiq,duration,Last well,05-04-2024,5 out of 5
by Edward,Nice product,I like the Rechargeable battery and it function nicely.,04-04-2024,5 out of 5
by Eniola,I like it,Having used a similar product before. It works. It has the same feel. It's quiet without the clicky sound. It is colorful if you are into colors. It gives your workspace a cute feel when working in the dark. It's handy and petite.,02-04-2024,5 out of 5
by David,I definitely recommend,I definitely will recommend this to anyone ,02-04-2024,5 out of 5
by Love,The Best,"I've been using it for over 2 months now, and I can say it's the best mouse I've ever used. 
Great product and also seem too cheap for its quality",02-04-2024,5 out of 5
by Silas,It's really nice and easy to use,Smooth and simple. Exactly as advertised... Even better. I like it,27-03-2024,5 out of 5
by Mark,Nice,I barely charge it and it lasts me one working week after one charge. Very nice,26-03-2024,4 out of 5
by Fatima,Not really used it,Love it's sleek nature. Working well.,25-03-2024,4 out of 5
by ELIJAH,Perfect,Available as seen. It works perfectly well. ,25-03-2024,5 out of 5
by Ismail Timileyin,Sleek and long lasting battery ,This product is nice the Bluetooth even connects to my mobile phone and the battery lasts long,25-03-2024,4 out of 5
