review_date,reviewer_name,reviewer_comment
More than a year ago,m***r (354),Fast delivery. Great handy tool for your laptop. Works great for 13-14 inch laptop. Very portable easy assemble
Past 6 months,9***9 (1504),Excellent Transaction. Thanks Very Much.
More than a year ago,i***m (115),"Does exactly what I wanted for the Dell laptop I was given for WFH. I didn't like the kinds offered by office supply stores and appreciate that this one is minimal, solid, and functional"
Past 6 months,s***n (36),Quick shipping.
Past 6 months,e***r (735),"Good seller, 100% recommend."
Past year,****9 (226),Works good!
Past 6 months,0***a (174),Amazing
Past 6 months,z***x (456),Excellent
Past 6 months,8***k (2),Good item!
More than a year ago,1***1 (52),"Super good, its stable, and the rubber pads help keep the laptop and the stand lock in place, works great with my Acer Nitro 5 Gaming laptop."
Past 6 months,0***a (1026),Good deal
More than a year ago,0***j (24),Super bueno y funcional el producto. Llego en buena forma y en tiempo. ¡Muchas gracias!
Past year,b***i (265),Great purchase! Really makes a difference in the longer sessions.
Past year,j***n (1109),Love it
Past year,n***n (134),I love it
More than a year ago,i***y (144),"Works great, nice and sturdy, doesnt fall on its own"
Past year,n***e (51),Looks exactly as described.
Past year,n***e (51),Looks exactly as described.
Past 6 months,y***6 (687),Great item
Past 6 months,i***i (16),Good
Past 6 months,i***n (412),Perfect
More than a year ago,u***v (418),material and design is ok but tool is small than the photos . more big holder will be ok than this
More than a year ago,p***5 (226),"Great seller, item better than expected, useful and well made, quick delivery"
Past year,p***d (888),Great EBAYER. !
More than a year ago,s***b (43),Great service. Quality product. On time delivery.
More than a year ago,0***t (529),Excellent item. Functions as described and expected. Great delivery time. A+ seller.
Past year,****9 (226),Works great!
Past year,e***e (2543),fast shipping. just as described
More than a year ago,i***d (336),"The item arrived in new condition, very fast shipping! Very stylish and futuristic design, strong and stable. Very good seller and highly recommend to others!"
More than a year ago,t***n (1053),Great deal on a quality item. Just what I was looking for. Quick shipping! Outstanding seller!
More than a year ago,y***o (195),Works great. Thank you for quick delivery.
More than a year ago,t***r (226),Light and convenient to use. Easy to assemble.
More than a year ago,r***v (393),awesome product for the price.
Past year,s***s (740),thanks
Past year,1***e (1264),A+
Past year,h***h (1071),A
More than a year ago,r***j (142),Exactly as described. Works as it should. Will buy again.
More than a year ago,r***a (2335),Great item.........as described & well packed...........A+A+A+A+
More than a year ago,7***4 (138),"Received fast,a little flimsy but work fine"
More than a year ago,.***s (1336),"This is the neatest stand I have ever seen, well made and strong. Shipping was fast and safe. Great things at real fair prices. Thanks."
Past year,1***i (322),Nice ring
More than a year ago,4***2 (568),"All metal, will support a heavy laptop."
More than a year ago,t***w (100),"Super dope! First ""aluminum "" stand I bought turned out to be plastic. That one was terrible, returned. This one is fantastic. A little more weighty than the plastic one, but should last longer."
Past year,x***i (244),Good!
More than a year ago,u***,Good item. Fast shipping. Thanks!
Past year,1***e (1264),A+
More than a year ago,e***i (468),"They are OK, not terribly tight."
More than a year ago,o***r (104),"Good product, just what i needed."
Past year,i***s (365),Product as described!
Past year,y***l (683),Rim is on car and just fine.
More than a year ago,s***n (85),This is a great little product arrived fast its portable fits great in my carry case. shipping was fast and accurate thx.
More than a year ago,k***m (26),Exactly as described. I will get a lot of good use out of this quality stand. Thank you.
More than a year ago,i***v (208),The Laptop Stand arrived quickly. It works perfectly and is able to hold up my 14 inch Chromebook.
Past year,r***r (279),Thank you so much
Past year,s***e (31),"Shipped quickly, and just what I ordered!"
More than a year ago,6***8 (46),very useful tool... Low price and arrived on time...
More than a year ago,9***i (121),Gracias excelente producto
Past year,a***9 (114),Cumple las expectativas
More than a year ago,o***p (230),Very good product ilovet ￼
More than a year ago,3***3 (54),Really nice product! Fast shipping A+++++++++ seller!
Past year,d***u (292),Totally recommended A++++
More than a year ago,6***8 (364),Shipped fast. Exactly as described. Nice quality product for the price. Thanks.
More than a year ago,0***t (529),"Shipped and arrived quickly, item in great shape. A+"
More than a year ago,m***1 (65),Great stand; works great. Quick delivery with very good packaging.
More than a year ago,w***h (214),"very convenient to take along, folds away in nice sock case. Great price!"
More than a year ago,b***u (35),I love that it fits in the carry bag and it lifts my laptops to get circulation. Arrived on time for my trip.
Past year,e***m (201),PERFECT!! Thank you!
More than a year ago,o***g (25),Arrived undamaged. Works great.
More than a year ago,k***t (1137),excellent product and delivery
More than a year ago,h***e (1452),Excellent quality. Great value
More than a year ago,s***s (108),"item as described, fast shipping, good quality"
More than a year ago,,"Excellent Packaging, and wonderful adjustable laptop stand, great design!"
More than a year ago,i***6 (137),Se ve de buena calidad
Past year,s***d (161),Great
More than a year ago,e***c (62),The stand is a great addition for propping up my laptop. I wish there was a wider version for greater stability otherwise I am happy with it.
More than a year ago,F***Q,"Love it, folds up perfectly and quickly and goes in my laptop bag like it was made for it. Thank you"
Past year,1***a (4),Muito bom mesmo
More than a year ago,o***g (302),"Item arrived quickly and as described, works great. Seller was very good, would buy from again"
More than a year ago,t***n (1053),Another great transaction with this great seller! Quality item. Shipped quick. A++++++
More than a year ago,i***0 (342),Happy with item
More than a year ago,n***e (26),Very good quality.
More than a year ago,6***r (168),Saw this on television and I found it on eBay much cheaper. It works well and is a help on my posture when using my laptop.
More than a year ago,p***p (265),Fast shipping great product
More than a year ago,n***,Thanks for the item.
More than a year ago,u***g (120),"Laptop is not as pictured, does not have hooks to hold the laptop securely. It does have decent build quality"
More than a year ago,b***l (1029),Thanks great item
More than a year ago,c***o (127),"as described, easy to use"
More than a year ago,n***,Thanks for the item.
More than a year ago,h***n (1118),Received quickly exactly as described. Inexpensive and decent quality.
More than a year ago,5***e (50),Fast shipping great product
More than a year ago,f***f (316),"love this, folds easily"
More than a year ago,o***a (578),This product is really good for your posture and very comfortable sitting at my desk using my laptop.
More than a year ago,r***_ (133),"Product as described, fast shipping, good seller. Thank You!"
More than a year ago,1***a (543),Works great in propping up my laptop. Great price and quick delivery.
More than a year ago,5***6 (31),Exactly what I was looking for and came faster than anticipated!
More than a year ago,1***o (1227),Great product.
Past year,l***l (826),Thank tou!
Past year,z***e (671),Thanks
More than a year ago,d***e (2160),Very good stand. Thanks!
More than a year ago,d***c (643),Thank you for the quick delivery. Love it.
More than a year ago,e***t (420),very sturdy product and very sylish for a great price . Highly recommended .
Past year,0***a (1026),Good deal...
More than a year ago,a***y (1276),Great seller and item
More than a year ago,j***Y,Good Product
More than a year ago,s***e (10),Laptop stand was delivered on time and works great! Thank you!
More than a year ago,o***n (538),"good product, super fast delivery, thanks!"
Past year,i***i (271),Great deal for the dollar
More than a year ago,1***a (336),Nice item and just what I needed. Excellent service. A+
More than a year ago,j***_ (996),Reasonable price items
More than a year ago,d***o (129),Good product
More than a year ago,n***a (1602),Can’t wait to try it out. Nice carrying pouch to travel with.
More than a year ago,_***v (8),Nice. A little slippery
More than a year ago,o***o (211),very good product
Past year,7***4 (43),Thx
More than a year ago,a***9 (93),Fast shipping and good price!
Past year,y***d (1230),A++
More than a year ago,3***3 (18),"good price, perhaps took to long to arrive"
More than a year ago,a***e (401),"2nd one bought, works great"
More than a year ago,r***t (5),Item came on time and in great condition. Thanks.
More than a year ago,r***t (5),Item came on time and in great condition. Thanks.
More than a year ago,c***k (1549),"Excellent eBayer: exactly as described, packaged well and shipped quickly (thanks ~;-)"
More than a year ago,3***a (944),"Item as described, fast shipper"
More than a year ago,o***o (662),Item arrived on time and worked very great. It was good doing business with you.
More than a year ago,o***l (2823),Great item and transactions . Fast response .
Past year,s***o (1047),Great
More than a year ago,7***r (578),Excellent service.
More than a year ago,b***a (25),Good Product. :)
More than a year ago,i***0 (29),New as described. Great quality
More than a year ago,6***f (517),Item arrived promptly and as described.
More than a year ago,i***1 (854),Great item.
More than a year ago,e***t (295),excellent quality and fast shipping. so worth it
More than a year ago,0***s (15),"Very good quality, fast shipping, I’m happy with my purchase"
More than a year ago,n***7 (288),"Item arrived as described with very fast shipping! Would buy from again! Excellent Seller, A++"
More than a year ago,e***i (1681),Fast shipping! Good item!
More than a year ago,8***8 (380),Great product! Quick shipping! Shop here!
More than a year ago,l***l (1520),The portable adjustable laptop stand works great! Fast Shipping!
More than a year ago,n***o (469),QUALITY CONSTRUCTION..... AND DELIVERED CROSS COUNTRY IN 2 DAYS.... AAA+++ SELLER Thank You !!
More than a year ago,o***o (697),Item received as described
More than a year ago,s***j (1039),This is the BEST laptop stand ever!
More than a year ago,s***e (1993),Perfect! Thank you!!
More than a year ago,6***6 (405),As described. Thank you!
Past year,u***s (118),OK
More than a year ago,r***n (832),"Perfect transaction,"
More than a year ago,u***,Good item. Fast shipping. Thanks!
More than a year ago,o***h (147),"Fast shipping, good quality."
More than a year ago,t***t (1518),Great item.
Past year,s***k (91),Good seller
More than a year ago,,delivered as advertized
Past year,,Excelente!!
More than a year ago,a***l (158),everything as described
More than a year ago,7***d (85),Ir works perfectly
More than a year ago,c***f (105),Really good
More than a year ago,h***o (178),Quick delivery and item was just as described.
More than a year ago,e***1 (359),"nice stand, awesome price, fast shipping"
More than a year ago,4***u (1315),best seller and services
More than a year ago,b***b (235),Works well! Thanks for the fast shipping.
More than a year ago,_***v (48),I love it
More than a year ago,g***r (2710),Thank you for fast shipping A +++++
More than a year ago,h***o (162),Fast shipping great product
More than a year ago,h***o (162),Fast shipping great product
More than a year ago,o***1 (2043),Rx
More than a year ago,g***g (1663),Perfect. Great communications.
More than a year ago,9***s (1680),Great speedy relabel delivery service. Great product. Thanks
More than a year ago,b***s (939),"***FAST shipping, GREAT seller!!*** LOVE the product, 5 stars ***** Thank you!!!"
More than a year ago,c***r (4170),"Great eBay seller, highly recommended, A+"
More than a year ago,o***l (711),fast shipping great item thank you
More than a year ago,_***i (1601),Item as described
More than a year ago,e***p (617),The item arrived quickly and in excellent condition. Thank you for the good quality and excellent service!
More than a year ago,_***i (1601),Item as described
More than a year ago,e***x (263),Works perfectly!! Great Bayern!!!
More than a year ago,e***4 (170),"It's a pleasure to make business with you guys, fast shipping and arrived just as described"
More than a year ago,7***s (205),Much better posture. Saves neck.
More than a year ago,9***e (621),Nice item. I really enjoy it. Quick to ship.
More than a year ago,i***0 (707),"Excellent seller, I recommend him!! Great shipping timing and communication!!"
More than a year ago,v***w (517),Great product. Fast shipping. Excellent seller!
More than a year ago,f***c (571),Fast shipping. Great product
More than a year ago,v***i (3410),Very cool item. Thanks so much!
More than a year ago,m***b (87),"Best quality, nice color."
More than a year ago,l***v (663),Great seller and product...
More than a year ago,i***a (71),Fast shipping
More than a year ago,c***y (11748),got item thank u
More than a year ago,2***r (352),very good fast shipping
More than a year ago,1***u (346),excellent product and fast delivery. thank you
More than a year ago,g***g (1486),As Stated A+
More than a year ago,a***g (773),Item received as described.
More than a year ago,h***h (1300),Nice product
More than a year ago,j***l (1718),fsty nice little stand
More than a year ago,c***y (11748),thank u
More than a year ago,a***r (640),"gr8 product , gr8 seller, fast shipping"
More than a year ago,v***a (127),"Great ""Aluminum alloy Laptop Stand Notebook Holder"""
More than a year ago,r***u (785),"Excelent Product, Fast Shipping And Great Seller."
More than a year ago,u***o (1109),Great seller fast and easy
More than a year ago,a***n (630),Love the product I got from them.
More than a year ago,x***3 (210),"Great item, fast Service"
More than a year ago,7***6 (64),Great seller and fast shipping.
More than a year ago,1***v (48),Item arrived on time and as described!
More than a year ago,r***b (392),"Fast shipping, arrived exactly as described."
More than a year ago,f***c (571),great product fast shipping
More than a year ago,e***r (982),Item just as described
More than a year ago,w***e (1781),Great product and fast shipping! Thank you!
More than a year ago,g***g (1663),Perfect
More than a year ago,p***g (445),Thanks very much
More than a year ago,a***3 (247),Fast shipping! Thanks! Awesome product A+++
More than a year ago,0***1 (5),"Great communication and quick response. This is a great product, I have ordered before I will order again."
More than a year ago,x***x (633),Love them thanks.
More than a year ago,m***l (2653),Great Item!! Nice doing business with you!!!
More than a year ago,a***n (72),Okay
More than a year ago,7***w (273),"Great laptop stand and seller, a pleasure purchasing from. Thank you ��"
More than a year ago,0***1 (5),great product will order again.
More than a year ago,0***1 (5),great product will order again.
More than a year ago,l***l (400),As described and fast shipping. Thanks.
More than a year ago,a***s (348),fast delivery! great seller!
More than a year ago,e***1 (570),"Accurate item as describe, fast shipping, good seller."
More than a year ago,s***c (443),good
More than a year ago,d***h (60),The item was what I expected and shipping was really fast.
More than a year ago,e***e (362),Excellent service.
More than a year ago,9***h (197),awesome
More than a year ago,o***r (2720),"Just as described, thank you"
More than a year ago,u***v (418),Seller resolved my problems thank you very much.
More than a year ago,y***d (950),:)
More than a year ago,2***2 (592),Everything OK
More than a year ago,d***h (60),The item was what I expected and shipping was really fast and free.
More than a year ago,t***k (116),"excellent product I love it, thank you very much, and of course I recommend it 100%"
More than a year ago,g***e (224),just what I needed thank you!!!
More than a year ago,2***8 (75),nice
More than a year ago,5***c (380),Pleasure doing business with you
More than a year ago,o***p (642),Thank you very much!❤️
More than a year ago,g***f (494),"excellent, thank you!"
More than a year ago,y***f (760),Good transaction thanks!
More than a year ago,m***a (278),A+++ service. Quick shipping. I would highly recommend this seller! Thank you for a smooth transaction!
More than a year ago,w***2 (16),Excellent. Thank you.
More than a year ago,e***i (167),"Item was as described, was just what i was looking for and shipped quickly too"
More than a year ago,i***8 (8822),GOOD !!! RECOMMENDED !!!!
More than a year ago,,Si me gusta esta excelente queda bien el laptop si les recomiendo solamente el envío es algo tardado pero si llega en buenas condiciones
More than a year ago,4***4 (640),No complaints
More than a year ago,t***l (2692),Fast shipping and just as described- thanks!
More than a year ago,d***e (200),fast delivery thanks
More than a year ago,o***k (1808),look study fast ship
More than a year ago,j***r (1438),"Fast ship, as described"
More than a year ago,3***t (1025),Happy with purchase. Thanks.
More than a year ago,a***r (840),ok
More than a year ago,m***k (52),.
More than a year ago,t***6 (495),As described love it and supper fast Shipping A Plus!
More than a year ago,e***n (321),Very fast delivery and item as described. AAA+ Seller
More than a year ago,e***e (2543),All was perfect. Just as described
More than a year ago,g***s (326),Received as described.
More than a year ago,a***o (877),HI HELLO THANK YOU FOR NICE LIKE 😍💕👍
More than a year ago,2***i (227),Great price and quick ship!
More than a year ago,f***. (402),Good deal exactly as ordered. Fast shipping perfect. Thank you!
More than a year ago,e***o (501),thank you God bless you good job everything is ok 👍
More than a year ago,i***a (134),great thanks
More than a year ago,1***a (214),A++
More than a year ago,r***o (247),Excelente
More than a year ago,i***h (962),"Amazing communications, lighting fast shipping and true honest seller, Asset to eBay+++++"
More than a year ago,1***n (230),My experience has been horrible because I bought a Portable Adjustable Aluminum alloy Laptop Stand Notebook Holder Foldable and they sent me a nail kit
More than a year ago,k***o (3227),Perfect. Thanks so much.
More than a year ago,8***1 (835),Good price fast shipping
More than a year ago,d***o (4259),Thank you A++++
More than a year ago,o***b (101),Item as described shipping on time.
More than a year ago,p***c (1913),Nice
More than a year ago,9***1 (384),A+ seller
More than a year ago,a***l (7),"el articulo tal cual la descripción de el vendedor, recomiendo al vendedor, fue enviado rápido , demoro unos días en llegar más de lo previsto"
More than a year ago,i***_ (53),Fast and good seller
More than a year ago,z***e (364),��
More than a year ago,l***c (1012),Good Transaction. Thanks!!
More than a year ago,t***o (326),Awesome transaction!!!!!!!!Fast Shipping!!!!!
More than a year ago,g***p (603),As decribed
More than a year ago,f***a (1198),love them ordering more. great seller fast shipping
More than a year ago,i***n (205),Great seller and fast shipping!
More than a year ago,o***d (100),Good seller fast shipping
More than a year ago,r***m (543),Great experience. Exactly as described. Great packing and quick ship. Thank you!!
More than a year ago,4***c (40),I ordered on 6/6/2023 it was shipped on 6/7/2023 and received items on 6/9/2023.
More than a year ago,a***y (1017),"Items as described, very practical. Great ebayer."
More than a year ago,l***b (621),"Product as described, fast shipping, great seller"
More than a year ago,c***c (452),GREAT SELLER
More than a year ago,l***l (426),"Exactly what I ordered, very fast shipping"
More than a year ago,l***l (426),"Exactly what I ordered, very fast shipping"
More than a year ago,d***o (198),"As advertised, quick shipping!"
More than a year ago,t***2 (31),Love it
More than a year ago,,Love it ❤️
More than a year ago,e***g (602),good price fast shipping
More than a year ago,r***a (875),Fast shipping. As described. Thank you.
More than a year ago,8***8 (120),100% recommended
More than a year ago,y***f (760),"Good transaction, thanks!"
More than a year ago,m***j (1269),Best Price and Free Shipping!
Past year,n***5 (7),"item not received yetReply from: america-8118Hi, Please contact our customer service, we provide a 30-day free return and refund service."
More than a year ago,c***i (312),fast and good thank you
More than a year ago,h***t (342),A+
More than a year ago,u***s (1728),Thank You
More than a year ago,2***5 (929),Great seller. Super fast shipping!!
More than a year ago,a***7 (176),Item received as described.
More than a year ago,h***s (740),fast shipping and nice service
More than a year ago,4***i (2051),"Thank you, as described, fast shipping. I would do it again."
More than a year ago,o***e (2855),Thanks.
More than a year ago,a***s (36),"Item exactly as advertised, fast shipping turnaround. Thank you!"
More than a year ago,o***b (64),Item as described. Prompt shipping.
More than a year ago,2***b (38),"as described, nice purchase"
More than a year ago,6***j (751),"Excellent buying experience, professionally handled transaction. Super fast shipping."
More than a year ago,o***c (780),Thank you! Fast and easy!
More than a year ago,q***a (30),Item lost but the seller was great in communication
More than a year ago,a***i,item as described
More than a year ago,r***r (2865),Thanks
More than a year ago,b***s (939),"***FAST shipping, GREAT service, AWESOME seller! THANK YOU!!!***"
More than a year ago,a***s (1349),"I've been looking for the best, long lasting, great design and best deal and this one fix all my need. Fast shipped great packaging and on time with the best product... A±++++��"
More than a year ago,o***l (711),fast shipping thank you ����
More than a year ago,j***b (296),Fast
More than a year ago,p***a (1562),Received Item as Promised!
More than a year ago,e***e (916),Excellent eBay seller. Great communication. Will do business again.
More than a year ago,l***l (128),"Great Seller, will buy again"
More than a year ago,v***1 (93),Very fast shipping! Great Seller and great to deal with. ��
More than a year ago,o***a (557),��
More than a year ago,s***i (2529),"Item as described, Fast shipping, Thank you"
More than a year ago,n***e (163),"Had a problem, seller stood behind his product"
More than a year ago,e***a (292),just as described
More than a year ago,f***a (1198),fast shipping
More than a year ago,f***r (125),Perfect
More than a year ago,e***u (128),It’s great thank you.
More than a year ago,r***t (14),Easy to purchase and fast delivery.
More than a year ago,i***e (235),easy return
More than a year ago,j***b (296),Fast
More than a year ago,r***0 (308),Excellent transaction
More than a year ago,o***6 (1188),item as described
More than a year ago,t***i (29),Fast & Great !
More than a year ago,a***i (684),Nice seller. will always buy from your store. every thing perfect. A++++++++
More than a year ago,a***i (684),Nice seller. will always buy from your store. every thing perfect. A++++++++
More than a year ago,d***g (71),Great seller
More than a year ago,1***u (210),Thank you it's perfect
More than a year ago,a***e (401),"As described, works well, plan to buy more"
More than a year ago,d***m (572),very satisfied
More than a year ago,m***_ (306),Quick delivery love it thanks!
More than a year ago,e***e (339),Works well at a decent price. Modify it for RV.
More than a year ago,4***m (1534),exactly as promised
More than a year ago,6***d (29),All is as described. A+++++
More than a year ago,a***t (283),Quick shipping. Thanks!
More than a year ago,r***r (479),Good guy
More than a year ago,1***a (256),"Thanks so much for a fast, easy transaction."
More than a year ago,u***v (418),material and design is ok but tool is small than the photos . more big holder will be ok than this
More than a year ago,h***n (1118),"Arrived in good condition. Can't beat the quality for the price. Good product, A+"
More than a year ago,l***u (440),item as described
More than a year ago,v***4 (378),"awesome E-Bayer, thanks"
More than a year ago,5***r (340),"Great seller, really punctual and honest one. Recommend to any deal+++++"
More than a year ago,a***r (80),everything as advertised
More than a year ago,8***3 (3514),item was exactly as described
More than a year ago,t***t (248),A plus fast shipping
More than a year ago,j***1 (1669),Fast Shipping
More than a year ago,a***m (112),Quick delivery!
More than a year ago,a***a (88),"Great, 100% recommended, love it <3"
More than a year ago,r***r (479),+
More than a year ago,l***v (663),5 ⭐
More than a year ago,d***s (338),Fast shipping! Thanks
More than a year ago,m***m (8),Good
More than a year ago,t***t (1899),"Fast shipping, thanks"
More than a year ago,l***a (495),Great product
More than a year ago,0***d (536),Item as described
More than a year ago,h***h (24),Recebido no tempo previsto!
More than a year ago,n***d (1451),Perfect
More than a year ago,b***o (81),Working great!
More than a year ago,l***o (643),"nice laptop stand, great price"
More than a year ago,g***g (182),everything is fine
More than a year ago,n***d (1451),perfect
More than a year ago,n***a (859),Thank U
More than a year ago,0***g (850),A+ Ebayer
More than a year ago,l***e (673),Thanks
More than a year ago,n***t (403),Would buy again! Thanks
More than a year ago,i***i (237),.
More than a year ago,a***n,All good
More than a year ago,k***a (1380),nice
More than a year ago,a***d (65),Excellent!
More than a year ago,n***n (270),Thanks
More than a year ago,e***i (5),Great find!
More than a year ago,e***m (1314),Nice...very pleased
More than a year ago,c***n (502),very good thanks
More than a year ago,a***a (114),Very good.
More than a year ago,c***t (1521),Quick
More than a year ago,a***d (270),Good
More than a year ago,5***r (340),Thank you for all!
More than a year ago,0***s (2254),thanks
More than a year ago,a***t (807),Thanks!
More than a year ago,8***u (113),A++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
More than a year ago,7***3 (39),good value
More than a year ago,b***o (565),Perfect! Thank you!
More than a year ago,o***o (464),A++ vendor! Fast ship!
More than a year ago,9***6 (1826),AAA+++
More than a year ago,e***i (51),Works as intended
More than a year ago,y***m (807),Good Seller
More than a year ago,i***i (214),great seller
More than a year ago,m***n (1449),Awesome!!!
More than a year ago,u***y (1018),great deal all great A++++++++++++++++++
More than a year ago,r***p (628),nice item
More than a year ago,z***u (17),A good seller.
More than a year ago,5***d (88),I received a cup phone holder not a laptop stand. So as a seller know what items being shipped to your buyers. I was able to sell the phone holder to a friend that needed a phone holder and I had to get a laptop stand from another source.
